Notes,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Deaths,Population
,2001,2001,65-74 years,65-74,Male,M,White,2106-3,207793,7345224
Total,2001,2001,65-74 years,65-74,Male,M,,,241581,8341053
Total,2001,2001,65-74 years,65-74,,,,,430960,18384179
,2001,2001,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1163,28897
,2001,2001,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,4712,166677
,2001,2001,75-84 years,75-84,Female,F,Black or African American,2054-5,33838,604436
,2001,2001,75-84 years,75-84,Female,F,White,2106-3,321474,6789723
Total,2001,2001,75-84 years,75-84,Female,F,,,361187,7589733
,2001,2001,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,983,19297
,2001,2001,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,5086,120417
,2001,2001,75-84 years,75-84,Male,M,Black or African American,2054-5,28395,340739
,2001,2001,75-84 years,75-84,Male,M,White,2106-3,306278,4523432
Total,2001,2001,75-84 years,75-84,Male,M,,,340742,5003885
Total,2001,2001,75-84 years,75-84,,,,,701929,12593618
,2001,2001,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,910,9784
,2001,2001,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,4104,46136
,2001,2001,85+ years,85+,Female,F,Black or African American,2054-5,32898,230714
,2001,2001,85+ years,85+,Female,F,White,2106-3,410086,2764796
Total,2001,2001,85+ years,85+,Female,F,,,447998,3051430
,2001,2001,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,492,4543
,2001,2001,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,3373,28929
,2001,2001,85+ years,85+,Male,M,Black or African American,2054-5,14489,84375
,2001,2001,85+ years,85+,Male,M,White,2106-3,199179,1143217
Total,2001,2001,85+ years,85+,Male,M,,,217533,1261064
Total,2001,2001,85+ years,85+,,,,,665531,4312494
,2001,2001,Not Stated,NS,Female,F,American Indian or Alaska Native,1002-5,1,Not Applicable
,2001,2001,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,4,Not Applicable
,2001,2001,Not Stated,NS,Female,F,Black or African American,2054-5,21,Not Applicable
,2001,2001,Not Stated,NS,Female,F,White,2106-3,65,Not Applicable
Total,2001,2001,Not Stated,NS,Female,F,,,91,Not Applicable
,2001,2001,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,5,Not Applicable
,2001,2001,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,4,Not Applicable
,2001,2001,Not Stated,NS,Male,M,Black or African American,2054-5,67,Not Applicable
,2001,2001,Not Stated,NS,Male,M,White,2106-3,255,Not Applicable
Total,2001,2001,Not Stated,NS,Male,M,,,331,Not Applicable
Total,2001,2001,Not Stated,NS,,,,,422,Not Applicable
Total,2001,2001,,,,,,,2416425,284968955
,2002,2002,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,152,28652
,2002,2002,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,357,93896
,2002,2002,< 1 year,1,Female,F,Black or African American,2054-5,3872,308227
,2002,2002,< 1 year,1,Female,F,White,2106-3,7936,1502164
Total,2002,2002,< 1 year,1,Female,F,,,12317,1932939
,2002,2002,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,191,29200
,2002,2002,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,441,98614
,2002,2002,< 1 year,1,Male,M,Black or African American,2054-5,4652,317650
,2002,2002,< 1 year,1,Male,M,White,2106-3,10433,1573058
Total,2002,2002,< 1 year,1,Male,M,,,15717,2018522
Total,2002,2002,< 1 year,1,,,,,28034,3951461
,2002,2002,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,41,109688
,2002,2002,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,69,363140
,2002,2002,1-4 years,4-Jan,Female,F,Black or African American,2054-5,494,1228911
,2002,2002,1-4 years,4-Jan,Female,F,White,2106-3,1448,5862972
Total,2002,2002,1-4 years,4-Jan,Female,F,,,2052,7564711
,2002,2002,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,49,113307
,2002,2002,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,97,369128
,2002,2002,1-4 years,4-Jan,Male,M,Black or African American,2054-5,702,1269501
,2002,2002,1-4 years,4-Jan,Male,M,White,2106-3,1958,6161084
Total,2002,2002,1-4 years,4-Jan,Male,M,,,2806,7913020
Total,2002,2002,1-4 years,4-Jan,,,,,4858,15477731
,2002,2002,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,61,302580
,2002,2002,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,90,879708
,2002,2002,5-14 years,14-May,Female,F,Black or African American,2054-5,668,3381305
,2002,2002,5-14 years,14-May,Female,F,White,2106-3,2133,15507564
Total,2002,2002,5-14 years,14-May,Female,F,,,2952,20071157
,2002,2002,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,65,310103
,2002,2002,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,130,916517
,2002,2002,5-14 years,14-May,Male,M,Black or African American,2054-5,998,3490929
,2002,2002,5-14 years,14-May,Male,M,White,2106-3,3005,16345132
Total,2002,2002,5-14 years,14-May,Male,M,,,4198,21062681
Total,2002,2002,5-14 years,14-May,,,,,7150,41133838
,2002,2002,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,167,281076
,2002,2002,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,223,994301
,2002,2002,15-24 years,15-24,Female,F,Black or African American,2054-5,1681,3113279
,2002,2002,15-24 years,15-24,Female,F,White,2106-3,6559,15509468
Total,2002,2002,15-24 years,15-24,Female,F,,,8630,19898124
,2002,2002,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,416,304513
,2002,2002,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,554,1016096
,2002,2002,15-24 years,15-24,Male,M,Black or African American,2054-5,5364,3116260
,2002,2002,15-24 years,15-24,Male,M,White,2106-3,18082,16519142
Total,2002,2002,15-24 years,15-24,Male,M,,,24416,20956011
Total,2002,2002,15-24 years,15-24,,,,,33046,40854135
,2002,2002,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,195,232012
,2002,2002,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,328,1235795
,2002,2002,25-34 years,25-34,Female,F,Black or African American,2054-5,3323,2842959
,2002,2002,25-34 years,25-34,Female,F,White,2106-3,8773,15208013
Total,2002,2002,25-34 years,25-34,Female,F,,,12619,19518779
,2002,2002,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,457,240880
,2002,2002,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,633,1176711
,2002,2002,25-34 years,25-34,Male,M,Black or African American,2054-5,6848,2546835
,2002,2002,25-34 years,25-34,Male,M,White,2106-3,20798,15866441
Total,2002,2002,25-34 years,25-34,Male,M,,,28736,19830867
Total,2002,2002,25-34 years,25-34,,,,,41355,39349646
,2002,2002,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,420,247353
,2002,2002,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,603,1099234
,2002,2002,35-44 years,35-44,Female,F,Black or African American,2054-5,8386,3076327
,2002,2002,35-44 years,35-44,Female,F,White,2106-3,24138,18016541
Total,2002,2002,35-44 years,35-44,Female,F,,,33547,22439455
,2002,2002,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,749,239327
,2002,2002,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1040,1015872
,2002,2002,35-44 years,35-44,Male,M,Black or African American,2054-5,11849,2724477
,2002,2002,35-44 years,35-44,Male,M,White,2106-3,43955,18221518
Total,2002,2002,35-44 years,35-44,Male,M,,,57593,22201194
Total,2002,2002,35-44 years,35-44,,,,,91140,44640649
,2002,2002,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,624,195957
,2002,2002,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1373,919357
,2002,2002,45-54 years,45-54,Female,F,Black or African American,2054-5,14501,2506901
,2002,2002,45-54 years,45-54,Female,F,White,2106-3,48165,16735388
Total,2002,2002,45-54 years,45-54,Female,F,,,64663,20357603
,2002,2002,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,978,185037
,2002,2002,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,1971,795306
,2002,2002,45-54 years,45-54,Male,M,Black or African American,2054-5,21122,2171493
,2002,2002,45-54 years,45-54,Male,M,White,2106-3,83651,16482755
Total,2002,2002,45-54 years,45-54,Male,M,,,107722,19634591
Total,2002,2002,45-54 years,45-54,,,,,172385,39992194
,2002,2002,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,812,108327
,2002,2002,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,1968,530005
,2002,2002,55-64 years,55-64,Female,F,Black or African American,2054-5,17336,1469820
,2002,2002,55-64 years,55-64,Female,F,White,2106-3,81863,11745506
Total,2002,2002,55-64 years,55-64,Female,F,,,101979,13853658
,2002,2002,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1074,101573
,2002,2002,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,2738,464007
,2002,2002,55-64 years,55-64,Male,M,Black or African American,2054-5,24000,1195585
,2002,2002,55-64 years,55-64,Male,M,White,2106-3,123551,11088509
Total,2002,2002,55-64 years,55-64,Male,M,,,151363,12849674
Total,2002,2002,55-64 years,55-64,,,,,253342,26703332
,2002,2002,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1090,58657
,2002,2002,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3451,337058
,2002,2002,65-74 years,65-74,Female,F,Black or African American,2054-5,25116,997277
,2002,2002,65-74 years,65-74,Female,F,White,2106-3,156312,8623666
Total,2002,2002,65-74 years,65-74,Female,F,,,185969,10016658
,2002,2002,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1201,49434
,2002,2002,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,3887,262076
,2002,2002,65-74 years,65-74,Male,M,Black or African American,2054-5,28198,714042
,2002,2002,65-74 years,65-74,Male,M,White,2106-3,203735,7346325
Total,2002,2002,65-74 years,65-74,Male,M,,,237021,8371877
Total,2002,2002,65-74 years,65-74,,,,,422990,18388535
,2002,2002,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1167,30100
,2002,2002,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,4900,178369
,2002,2002,75-84 years,75-84,Female,F,Black or African American,2054-5,34384,616184
,2002,2002,75-84 years,75-84,Female,F,White,2106-3,323699,6839451
Total,2002,2002,75-84 years,75-84,Female,F,,,364150,7664104
,2002,2002,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1048,20238
,2002,2002,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,5324,127569
,2002,2002,75-84 years,75-84,Male,M,Black or African American,2054-5,28478,347806
,2002,2002,75-84 years,75-84,Male,M,White,2106-3,308654,4605147
Total,2002,2002,75-84 years,75-84,Male,M,,,343504,5100760
Total,2002,2002,75-84 years,75-84,,,,,707654,12764864
,2002,2002,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,935,9887
,2002,2002,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,4486,50152
,2002,2002,85+ years,85+,Female,F,Black or African American,2054-5,33438,229536
,2002,2002,85+ years,85+,Female,F,White,2106-3,416311,2787871
Total,2002,2002,85+ years,85+,Female,F,,,455170,3077446
,2002,2002,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,516,4570
,2002,2002,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,3662,30852
,2002,2002,85+ years,85+,Male,M,Black or African American,2054-5,14584,83120
,2002,2002,85+ years,85+,Male,M,White,2106-3,207144,1172820
Total,2002,2002,85+ years,85+,Male,M,,,225906,1291362
Total,2002,2002,85+ years,85+,,,,,681076,4368808
,2002,2002,Not Stated,NS,Female,F,American Indian or Alaska Native,1002-5,1,Not Applicable
,2002,2002,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,1,Not Applicable
,2002,2002,Not Stated,NS,Female,F,Black or African American,2054-5,17,Not Applicable
,2002,2002,Not Stated,NS,Female,F,White,2106-3,56,Not Applicable
Total,2002,2002,Not Stated,NS,Female,F,,,75,Not Applicable
,2002,2002,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,6,Not Applicable
,2002,2002,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,6,Not Applicable
,2002,2002,Not Stated,NS,Male,M,Black or African American,2054-5,40,Not Applicable
,2002,2002,Not Stated,NS,Male,M,White,2106-3,230,Not Applicable
Total,2002,2002,Not Stated,NS,Male,M,,,282,Not Applicable
Total,2002,2002,Not Stated,NS,,,,,357,Not Applicable
Total,2002,2002,,,,,,,2443387,287625193
,2003,2003,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,140,29744
,2003,2003,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,381,98859
,2003,2003,< 1 year,1,Female,F,Black or African American,2054-5,3662,304284
,2003,2003,< 1 year,1,Female,F,White,2106-3,7940,1509747
Total,2003,2003,< 1 year,1,Female,F,,,12123,1942634
,2003,2003,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,195,30240
,2003,2003,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,467,104880
,2003,2003,< 1 year,1,Male,M,Black or African American,2054-5,4740,315118
,2003,2003,< 1 year,1,Male,M,White,2106-3,10500,1582999
Total,2003,2003,< 1 year,1,Male,M,,,15902,2033237
Total,2003,2003,< 1 year,1,,,,,28025,3975871
,2003,2003,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,40,113119
,2003,2003,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,71,378615
,2003,2003,1-4 years,4-Jan,Female,F,Black or African American,2054-5,500,1232025
,2003,2003,1-4 years,4-Jan,Female,F,White,2106-3,1528,5912934
Total,2003,2003,1-4 years,4-Jan,Female,F,,,2139,7636693
,2003,2003,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,55,116442
,2003,2003,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,91,386181
,2003,2003,1-4 years,4-Jan,Male,M,Black or African American,2054-5,699,1271135
,2003,2003,1-4 years,4-Jan,Male,M,White,2106-3,1981,6206124
Total,2003,2003,1-4 years,4-Jan,Male,M,,,2826,7979882
Total,2003,2003,1-4 years,4-Jan,,,,,4965,15616575
,2003,2003,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,51,306910
,2003,2003,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,101,902995
,2003,2003,5-14 years,14-May,Female,F,Black or African American,2054-5,629,3380481
,2003,2003,5-14 years,14-May,Female,F,White,2106-3,2023,15435736
Total,2003,2003,5-14 years,14-May,Female,F,,,2804,20026122
,2003,2003,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,86,314543
,2003,2003,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,134,936127
,2003,2003,5-14 years,14-May,Male,M,Black or African American,2054-5,922,3492835
,2003,2003,5-14 years,14-May,Male,M,White,2106-3,3008,16266577
Total,2003,2003,5-14 years,14-May,Male,M,,,4150,21010082
Total,2003,2003,5-14 years,14-May,,,,,6954,41036204
,2003,2003,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,171,293820
,2003,2003,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,273,1025397
,2003,2003,15-24 years,15-24,Female,F,Black or African American,2054-5,1697,3174454
,2003,2003,15-24 years,15-24,Female,F,White,2106-3,6757,15686619
Total,2003,2003,15-24 years,15-24,Female,F,,,8898,20180290
,2003,2003,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,450,318783
,2003,2003,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,553,1049020
,2003,2003,15-24 years,15-24,Male,M,Black or African American,2054-5,5448,3180529
,2003,2003,15-24 years,15-24,Male,M,White,2106-3,18219,16660232
Total,2003,2003,15-24 years,15-24,Male,M,,,24670,21208564
Total,2003,2003,15-24 years,15-24,,,,,33568,41388854
,2003,2003,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,199,239569
,2003,2003,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,375,1280302
,2003,2003,25-34 years,25-34,Female,F,Black or African American,2054-5,3249,2848228
,2003,2003,25-34 years,25-34,Female,F,White,2106-3,8875,15132823
Total,2003,2003,25-34 years,25-34,Female,F,,,12698,19500922
,2003,2003,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,444,248305
,2003,2003,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,651,1208777
,2003,2003,25-34 years,25-34,Male,M,Black or African American,2054-5,6693,2540071
,2003,2003,25-34 years,25-34,Male,M,White,2106-3,20814,15745720
Total,2003,2003,25-34 years,25-34,Male,M,,,28602,19742873
Total,2003,2003,25-34 years,25-34,,,,,41300,39243795
,2003,2003,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,460,251650
,2003,2003,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,661,1137537
,2003,2003,35-44 years,35-44,Female,F,Black or African American,2054-5,8240,3067498
,2003,2003,35-44 years,35-44,Female,F,White,2106-3,23665,17750018
Total,2003,2003,35-44 years,35-44,Female,F,,,33026,22206703
,2003,2003,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,784,243343
,2003,2003,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1024,1045764
,2003,2003,35-44 years,35-44,Male,M,Black or African American,2054-5,11544,2711089
,2003,2003,35-44 years,35-44,Male,M,White,2106-3,43083,17947307
Total,2003,2003,35-44 years,35-44,Male,M,,,56435,21947503
Total,2003,2003,35-44 years,35-44,,,,,89461,44154206
,2003,2003,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,722,205538
,2003,2003,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1432,959741
,2003,2003,45-54 years,45-54,Female,F,Black or African American,2054-5,15020,2593907
,2003,2003,45-54 years,45-54,Female,F,White,2106-3,48925,17017733
Total,2003,2003,45-54 years,45-54,Female,F,,,66099,20776919
,2003,2003,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1090,194516
,2003,2003,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2019,832223
,2003,2003,45-54 years,45-54,Male,M,Black or African American,2054-5,21986,2253174
,2003,2003,45-54 years,45-54,Male,M,White,2106-3,85587,16763122
Total,2003,2003,45-54 years,45-54,Male,M,,,110682,20043035
Total,2003,2003,45-54 years,45-54,,,,,176781,40819954
,2003,2003,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,906,116131
,2003,2003,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,2030,574353
,2003,2003,55-64 years,55-64,Female,F,Black or African American,2054-5,18053,1545028
,2003,2003,55-64 years,55-64,Female,F,White,2106-3,85069,12283907
Total,2003,2003,55-64 years,55-64,Female,F,,,106058,14519419
,2003,2003,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1136,108830
,2003,2003,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,2803,498097
,2003,2003,55-64 years,55-64,Male,M,Black or African American,2054-5,24770,1262724
,2003,2003,55-64 years,55-64,Male,M,White,2106-3,127752,11619875
Total,2003,2003,55-64 years,55-64,Male,M,,,156461,13489526
Total,2003,2003,55-64 years,55-64,,,,,262519,28008945
,2003,2003,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1065,61246
,2003,2003,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3478,351963
